description,roads,lighting,water,garbage,traffic,fire,drainage,rainwater,priority
water pipe leaking near school totally ignored by workers,0,0,1,0,1,0,0,0,High
overflowing dustbin near playground everyday issue,0,0,0,1,0,0,0,0,High
electrical pole caught fire suddenly unsafe for kids,0,0,0,0,1,1,0,0,Low
dead animal lying on street,0,0,0,1,0,0,0,0,Low
flyover construction causing traffic jams near my home,1,0,0,0,0,0,0,0,Low
rainwater not draining properly pls fix soon,0,0,0,0,0,0,0,1,Low
burning smell from garbage dump everyday issue,0,0,0,0,0,1,0,0,Medium
traffic signal not working at main junction pls fix soon,0,1,0,0,1,0,0,0,Low
streetlights not working near park causing problem to public,0,1,0,0,0,0,0,0,High
no drinking water supply since morning totally ignored by workers,0,0,1,0,0,0,0,0,High
transformer sparks near lamppost everyday issue,0,1,0,0,0,0,0,0,High
no drinking water supply since morning urgent attention needed,0,0,1,0,0,0,0,0,Medium
water tank overflow behind my house totally ignored by workers,0,0,1,0,0,0,0,0,Low
sewage water spreading bad smell not cleaned for a week,0,0,0,0,0,0,1,0,High
water pipe leaking near school it smells really bad,0,0,1,0,0,0,0,0,High
road divider damaged and needs fixing causing problem to public,1,0,0,0,0,0,0,0,Medium
no traffic police during rush hour urgent attention needed,0,0,0,0,1,0,0,0,High
water entered houses after rain urgent attention needed,0,0,0,0,0,0,0,1,Low
sewage water spreading bad smell totally ignored by workers,0,0,0,0,0,0,1,0,Medium
drain overflowing near house urgent attention needed,0,0,0,0,0,0,1,0,Medium
low water pressure in entire colony totally ignored by workers,0,0,1,0,0,0,0,0,High
signal timer too short causing jam not cleaned for a week,0,0,1,0,1,0,0,0,High
road divider damaged and needs fixing pls fix soon,1,0,0,0,0,0,0,0,High
tap water dirty and smells bad not cleaned for a week,0,0,1,0,0,0,0,0,Low
heavy congestion near school area it smells really bad,0,0,0,0,1,0,0,1,Low
broken drain cover outside colony not cleaned for a week,0,0,0,1,0,0,1,0,Medium
no traffic police during rush hour totally ignored by workers,0,0,0,0,1,0,0,0,Medium
potholes on the road making travel dangerous totally ignored by workers,1,0,0,0,0,0,0,0,Low
water entered houses after rain causing problem to public,0,0,0,0,0,0,0,1,High
water entered houses after rain unsafe for kids,0,0,0,0,0,0,0,1,High
standing water attracting mosquitoes it smells really bad,0,0,0,0,0,0,0,1,Medium
vehicles parked illegally blocking road unsafe for kids,0,0,0,0,1,0,0,0,Medium
transformer sparks near lamppost totally ignored by workers,0,1,0,0,0,0,0,0,Medium
drain overflowing near house not cleaned for a week,0,0,0,0,0,0,1,1,Low
electrical pole caught fire suddenly everyday issue,0,0,0,0,0,1,0,0,Low
fire accident near market due to short circuit,0,0,1,0,0,1,0,0,Medium
signal timer too short causing jam causing problem to public,0,1,0,0,1,0,0,0,Medium
dead animal lying on street causing problem to public,0,0,0,1,0,0,0,0,Medium
people dumping garbage in open area causing problem to public,0,0,0,1,0,0,0,0,Low
street completely dark after evening it smells really bad,0,1,0,0,0,0,0,0,Low
open manhole on the street,0,0,0,0,0,0,1,0,High
people dumping garbage in open area everyday issue,0,0,0,1,0,0,0,0,Medium
burning smell from garbage dump near my home,1,0,0,0,0,1,0,0,Low
rainwater not draining properly pls fix soon,0,0,0,0,0,0,0,1,Low
no traffic police during rush hour near my home,0,0,0,0,1,0,0,0,High
flyover construction causing traffic jams near my home,1,0,0,0,0,0,0,0,Medium
no traffic police during rush hour,0,0,0,0,1,0,0,0,Low
flyover construction causing traffic jams totally ignored by workers,1,0,0,0,0,0,0,0,Medium
electrical pole caught fire suddenly pls fix soon,0,0,0,0,0,1,0,0,Medium
flickering lights creating unsafe environment,0,1,0,0,0,0,0,0,Medium
standing water attracting mosquitoes near my home,0,0,0,0,0,0,0,1,Medium
tap water dirty and smells bad everyday issue,0,0,1,0,0,0,1,0,Medium
fire accident near market due to short circuit,0,0,0,0,0,1,0,0,High
transformer sparks near lamppost causing problem to public,0,1,0,0,0,0,0,0,Medium
low water pressure in entire colony totally ignored by workers,0,0,1,1,0,0,0,0,Medium
rainwater not draining properly causing problem to public,0,0,0,0,0,0,0,1,Low
road divider damaged and needs fixing causing problem to public,1,0,0,0,0,0,0,0,High
low water pressure in entire colony causing problem to public,0,0,1,0,0,0,0,0,Low
street completely dark after evening it smells really bad,0,1,0,0,0,0,0,0,Low
park flooded due to heavy rain not cleaned for a week,0,0,0,0,0,0,0,1,Low
standing water attracting mosquitoes urgent attention needed,0,0,0,0,0,0,0,1,Medium
flyover construction causing traffic jams urgent attention needed,1,1,0,0,0,0,0,0,Medium
vehicles parked illegally blocking road near my home,0,1,0,0,1,0,0,0,Medium
main road broken near market area totally ignored by workers,1,0,0,0,0,0,0,0,High
flickering lights creating unsafe environment totally ignored by workers,0,1,0,0,0,0,0,0,Medium
transformer caught fire after rain urgent attention needed,0,0,0,0,0,1,0,0,Medium
plastic waste thrown near road it smells really bad,0,0,0,1,0,0,0,1,Low
drain overflowing near house causing problem to public,1,0,0,0,0,0,1,0,High
water tank overflow behind my house causing problem to public,0,0,1,0,0,1,0,0,Low
bulb fused near temple street everyday issue,0,1,0,1,0,0,0,0,Low
no drinking water supply since morning it smells really bad,0,0,1,0,0,0,0,0,Medium
transformer sparks near lamppost,0,1,0,0,0,0,0,0,Medium
no drinking water supply since morning causing problem to public,0,0,1,0,0,0,0,0,Medium
water tank overflow behind my house everyday issue,0,0,1,0,0,0,1,0,Low
vehicles parked illegally blocking road not cleaned for a week,0,0,0,0,1,0,1,0,High
flickering lights creating unsafe environment urgent attention needed,0,1,0,0,0,0,1,0,Medium
sewage water spreading bad smell pls fix soon,0,0,0,0,0,0,1,0,High
main road broken near market area,1,0,0,0,0,0,0,0,Medium
no drinking water supply since morning not cleaned for a week,0,0,1,0,0,0,0,0,Low
bulb fused near temple street near my home,0,1,0,1,0,0,0,0,Low
burning smell from garbage dump urgent attention needed,0,0,0,0,0,1,0,0,High
no drinking water supply since morning urgent attention needed,0,0,1,0,0,0,0,0,High
signal timer too short causing jam totally ignored by workers,0,0,0,0,1,0,0,0,Medium
flickering lights creating unsafe environment not cleaned for a week,0,1,0,0,0,0,0,0,Medium
electrical pole caught fire suddenly near my home,0,0,0,0,0,1,0,0,Medium
dead animal lying on street totally ignored by workers,0,0,0,1,0,0,0,0,Medium
smoke seen from nearby building pls fix soon,0,0,0,0,0,1,0,0,Medium
street dug up and left unattended urgent attention needed,1,0,0,0,0,0,0,0,Low
standing water attracting mosquitoes not cleaned for a week,0,0,0,0,0,0,0,1,Medium
traffic signal not working at main junction not cleaned for a week,0,0,0,0,1,0,0,0,Medium
potholes on the road making travel dangerous urgent attention needed,1,0,0,0,0,0,0,0,Low
streetlights not working near park not cleaned for a week,0,1,0,0,0,0,0,0,High
transformer sparks near lamppost near my home,0,1,0,0,0,0,0,0,High
burning smell from garbage dump pls fix soon,0,0,0,0,0,1,0,0,Medium
burning smell from garbage dump everyday issue,0,0,0,0,0,1,0,0,High
rainwater not draining properly not cleaned for a week,0,0,1,0,0,0,0,1,Low
rainwater not draining properly,0,0,0,0,0,0,0,1,Low
street completely dark after evening pls fix soon,0,1,0,0,0,0,0,0,Medium
flyover construction causing traffic jams totally ignored by workers,1,0,0,0,0,0,0,0,Medium
drainage blocked causing mosquito problem near my home,0,0,0,0,0,0,1,0,High
main road broken near market area it smells really bad,1,0,0,0,0,0,0,0,High
overflowing dustbin near playground not cleaned for a week,0,0,0,1,0,0,0,0,High
standing water attracting mosquitoes everyday issue,0,0,0,0,0,0,0,1,Medium
main road broken near market area unsafe for kids,1,0,0,0,0,0,0,0,Low
no drinking water supply since morning unsafe for kids,0,0,1,0,0,0,0,0,High
vehicles parked illegally blocking road it smells really bad,0,0,0,0,1,0,0,0,Medium
rainwater not draining properly near my home,0,0,0,0,0,0,0,1,Low
open manhole on the street causing problem to public,0,0,0,0,0,0,1,1,Medium
water entered houses after rain unsafe for kids,0,0,0,0,0,0,0,1,High
no drinking water supply since morning totally ignored by workers,0,0,1,0,0,0,0,0,Medium
