description,roads,lighting,water,garbage,traffic,fire,drainage,rainwater,priority
urban flooding caused by encroachment over natural drainage path,0,0,0,0,0,0,1,1,High
concrete road has expanded and buckled creating dangerous bump,1,0,0,0,0,0,0,0,High
three streetlights in a row not working near ATM kiosk robbery risk,0,1,0,0,0,0,0,0,High
raw water supply pipeline corroded contaminating treated water,0,0,1,0,0,0,0,0,High
tyres and old mattresses dumped near railway track fire hazard,0,0,0,1,0,1,0,0,Medium
no yielding sign at roundabout causing frequent fender benders,0,0,0,0,1,0,0,0,Medium
warehouse storing chemicals has no fire safety clearance certificate,0,0,0,0,0,1,0,0,High
outlet of rainwater culvert blocked by silt massive flooding upstream,0,0,0,0,0,0,1,1,High
water ankle deep on road three days after rain still not drained,0,0,0,0,0,0,0,1,Medium
speed breakers not painted white vehicles cant see them at night,1,1,0,0,0,0,0,0,Medium
junction box sparking near playground during rain dangerous for kids,0,1,0,0,0,1,0,0,High
overhead water tank of colony leaking significant water wastage daily,0,0,1,0,0,0,0,0,Medium
carcass disposal by municipal workers improper attracting vultures and stench,0,0,0,1,0,0,0,0,High
traffic barricades left after event obstructing two lanes of road,0,0,0,0,1,0,0,0,Low
kerosene spill near apartment fire risk if not cleaned immediately,0,0,0,0,0,1,0,0,High
silted up catch basin not trapping debris flowing into main sewer,0,0,0,0,0,0,1,0,Medium
perennial waterlogging at intersection turns road into pond after rain,0,0,0,0,0,0,0,1,High
construction rubble dumped on road side no clearance attempted,0,0,0,1,0,0,0,0,Medium
insufficient lighting near ATM and bank branch security concern,0,1,0,0,0,0,0,0,High
water treatment plant producing water with unacceptable turbidity levels,0,0,1,0,0,0,0,0,High
illegal garbage transfer station operating near apartment emitting odour,0,0,0,1,0,0,0,0,High
uncontrolled intersection needs at minimum a blinker light,0,0,0,0,1,0,0,0,Medium
high tension wire sagging close to building rooftop fire and shock risk,0,1,0,0,0,1,0,0,High
box drain collapsed revealing deep cavity on footpath pedestrians at risk,0,0,0,0,0,0,1,0,High
monsoon water entering transformer room could cause explosion,0,1,0,0,0,1,0,1,High
damaged road surface near toll booth trucks getting stuck daily,1,0,0,0,0,0,0,0,Medium
flickering high mast light at stadium affecting evening sports activities,0,1,0,0,0,0,0,0,Low
mixed sewage and rain water flowing on road foul smell unbearable,0,0,0,0,0,0,1,1,High
bio waste from clinic found openly dumped in public dustbin,0,0,0,1,0,0,0,0,High
broken traffic signal pole lying on road divider hazard for bikers,0,0,0,0,1,0,0,0,High
diesel generator exhaust near bedroom windows causing health issues,0,0,0,0,0,1,0,0,Medium
choked drainage manhole cover overflowing at multiple points in colony,0,0,0,0,0,0,1,0,High
rainwater collected in abandoned building foundation dengue concern,0,0,0,0,0,0,0,1,Medium
the side road we use for market access has completely disintegrated stones showing,1,0,0,0,0,0,0,0,Medium
night patrol impossible due to no street illumination in outskirts area,0,1,0,0,0,0,0,0,High
please check water quality in our bore well children falling sick frequently,0,0,1,0,0,0,0,0,High
massive garbage mound near railway station eyesore for tourists,0,0,0,1,0,0,0,0,Medium
no right turn filter arrow at signal causing delays during non peak hours,0,0,0,0,1,0,0,0,Low
smell of burning plastic coming from garbage processing unit near colony,0,0,0,1,0,1,0,0,Medium
drain behind the temple discharges directly into lake polluting water body,0,0,0,0,0,0,1,0,High
seasonal flooding ruins our shops every year when will permanent fix come,0,0,0,0,0,0,0,1,High
road tar came off during rain exposing concrete base vehicles skidding,1,0,0,0,0,0,0,0,High
hanging electric cables near temple tree could break and fall on people,0,1,0,0,0,1,0,0,High
water pipeline passing under garbage dump contamination likely,0,0,1,1,0,0,0,0,High
daily garbage burning by neighbourhood residents smoke everywhere,0,0,0,1,0,1,0,0,Medium
narrow lane traffic both ways needs to be made one way,0,0,0,0,1,0,0,0,Medium
fire tender could not reach building due to narrow lanes parked vehicles,0,0,0,0,1,1,0,0,High
drain water black and sticky clearly has chemical discharge from factory,0,0,0,0,0,0,1,0,High
ground floor shops flooded with 2 feet rainwater goods damaged heavily,0,0,0,0,0,0,0,1,High
